제목,내용,평점,좋아요 수
완벽한 작전,유치뽕짝,2.0,16
왓쳐,프랜시스 넌 이제 와이프한테 죽었다,2.5,31
언더 워터,"쫄깃 쫄깃 잼나네
바닷속은 역시 무서워",3.0,19
크레이그리스트 킬러,"기분 나쁜 영화
무슨 범죄자를 애틋한 .사랑꾼으로 묘사하네
비열한 새끼",2.0,21
미혹,이 영화에 미혹되시 마시길,1.0,19
길복순,"겉 멋에만 잔뜩 힘준
가벼운 영화",2.5,79
옆집사람,이쁜 여자가 잘 해주면 의심 부터 했어야지,2.0,25
루터: 태양의 몰락,"볼만 했는데
좀 더 추리요소가 가미 됐으면
좋았을 텐데",3.5,17
헬 독스,"잘 가다가 마지막 총 싸움씬에서
손발이 없어져 버렸다",2.5,26
마더,"이 영화는 분명히 보는 사람
열받아 미치라고 만든거다",4.0,21
야쿠자와 가족,"인과응보
야쿠자의 현실",2.5,18
시카리오: 데이 오브 솔다도,"네 미래 얘길 해 보자

어떻게 살아난거지?
내가 뭘 놓쳤나",3.0,19
시카리오: 암살자의 도시,"봤던거였다
마지막 장면만 기억났다",3.5,25
트리플 프런티어,적당히 하라고 교훈 주는 영화,3.0,18
펠햄 123,간만에 존트라볼타 보는것으로 만족,3.0,18
그들이 아버지를 죽였다,"킬링 필드
너무 무서운 말이다",4.0,21
비스트 오브 노 네이션,"태양아 넌 왜 세상을 비추고 있어
널 내손으로 잡아 빛이 사라질 때까지
쥐어짜고 싶어",5.0,16
천장지구,덕화 따거 얼굴 쌍코피가 나도 무너지지 않아,3.0,20
센트럴 인텔리전스,"영화 내내 못 웃었지만
ng때문에 별 추가",2.5,17
레드 노티스,"양산형 액션과 개그코드
알 훔치는 영화",2.0,14
데시벨,천안함이 떠오르네,2.0,19
압꾸정,"아 촌스러
압구정 성형외과 이야기",1.5,25
익스펜더블,"겁나 쎈 형들 모아서
섬 쳐들어가 여자 구하는 영화",3.5,18
파이프라인,"진짜 재미없네
퀵보드는 머냐 대체",1.0,21
박수칠 때 떠나라,하균형의 연기는 이때도 살벌했구나,3.5,27
미이라,99년도 CG인데 대단하네,3.0,23
88분,내가 예상한 사람이 범인이  맞네,3.5,22
런 올 나이트,결국 끝까지 같이 갔군,3.0,19
해피 엔드,"가슴이 아파 어찌할바 몰라 애잔한
그런 연애소설이 재미있죠",3.5,25
해피 데스데이,"같은 날이 계속 되는거 할만하겠는데
죽지만 않는다면",3.5,24
치히로 상,어느 별에서 왔니?,3.0,22
놉,"꽤 특이한 영화다
가오리 처럼 생겼네",3.0,25
도망자,힘내 런닝맨,3.0,19
탈진실,마지막 떡밥을 회수하는 장면이 진실이다,3.0,16
블루버드 인 마이 하트,프랑스판 좀 약한 아저씨?,3.0,16
워,너무 짬뽕스런 영화,2.5,16
스마트폰을 떨어뜨렸을 뿐인데,"일본꺼 보다 연기가 조금은 나아보인다
스마트폰 조심!",3.0,29
스마트폰을 떨어뜨렸을 뿐인데,여주인공 연기가 좀 어설퍼서 집중이 안되네,2.5,18
블랙매스,"실화였구나
검은칼로 이어진 구린 우정",4.0,17
퍼스널 쇼퍼,"이게 다 상상이야?

쿵!",3.0,22
표적,"그 형은 죽지를 않아~
좀비 반장 멋있다",3.0,19
자백,고통 없는 구원은 없어요,3.0,28
허슬,농구 참 매력적인 스포츠,3.0,14
웨이 다운,굿닥터가 계속 생각나서 집중이 안되네,2.5,18
가재가 노래하는 곳,내가 갈땐 큰소리 내지 않고 쉬이 갔음 한다,4.0,60
페일 블루 아이,"포가 참 멋있다
삐뚤어진 시절의 한 대목",3.5,21
실종,꼬았다가 또 꼬고 한번 더 꼬았다,3.5,27
테이커스,"스타일 좋은 범죄 영화
추격씬이 볼만함",3.5,18
스파이 게임,"부하 하나 때문에 3억을 태우다니
충성충성",3.0,26
수상한 고객들,참 류승범 연기 맛깔나게 한다니까,3.5,20
오션스8,소문난 잔치에 먹을게 부족해,2.5,20
장화신은 고양이,계란이는 머스크를 참 많이 닮았다,3.0,20
디보션,"제시는 우리에게도 필요한 존재
수 없이 희생된 제시 브라운을 기억하며",3.5,21
나르비크,전쟁의 허망함과 아이러니,3.0,22
세자매,"어두운 영화이지만
연기가 너무 빛난다",4.0,23
정이,"좋은 시도를 했으나
놓지 못하는 신파

삼가 고인의 명복을 빕니다",3.0,35
불릿 트레인,"유쾌하게 보일려고 애쓴게 보인다
가볍게 볼만함",3.0,23
포커스,"속이고 속으면서 강한 반전을 기대했으나
좀 약해서 아쉬움",3.5,18
태그,"실화라니
참 유쾌하게 사시네",3.0,17
마지막 늑대,"영화는 정말 재미는 없는데
지금은 유명해진 배우 보는 재미는 있구만요",2.0,25
쥬라기 월드: 도미니언,"왜 점점 공룡 CG가 허접해 보이지
재미가 없어서 그런가",1.5,25
레커닝,야만의 시대,2.5,20
그린랜드,"답답한 부분도 있고
CG도 애매",3.0,18
앵커,조금 촌스러운 연출에 실망,2.0,22
발신제한,"답답한 상황이 너무 많다
억지 설정 무더기",1.0,22
이웃사촌,정우님은 우는 모습이 참 슬퍼,3.0,23
스틸워터,"강한 임팩트는 없는데
묘하게 빠져드는 영화",3.5,27
보이스,"취재를 많이 했나보다
디테일이 살아있네",3.5,22
공조2: 인터내셔날,파리채가 뭐냐 실망임,2.0,23
경관의 피,스토리가 약하니 명분도 약함,2.0,28
헤어질 결심,당신의 심장을 가지고 싶어요,3.0,31
대무가,"박성웅 정경호님
무슨 짓을 하신건가요?",2.0,21
외계+인 1부,"볼거는 많은데 너무 미래지항적이다
2편이 나올라나",3.0,29
담보,"그래
신파를 찍으려면 대 놓고 찍자",3.0,19
고백,"전달하려는 메시지는 뭔지 알겠는데
너무 담백하다",2.0,19
방법: 재차의,"중간까진 괜찮았는데
이후부턴 급 잼없어짐",2.5,20
문폴,"너무 뇌절 아닌가
볼거리는 있어서 2.5",2.5,26
도굴,"그놈의 선수 입장 배우 입장
언제까지 할라나",2.0,28
더블 크라임,쥬드 누나 나도 간만에 후련한 영화를 봤어,4.0,23
어카운턴트,"자폐증인데
회계사에 킬러 능력까지
판탄지물인가",2.5,22
타고난 재능: 벤 카슨 스토리,"엄마는 위대하다
믿음 응원 칭찬",4.0,22
스모킹 에이스,"전체적으로 영화가 중구난방 전개라
집중이 잘 안되네",2.0,22
라스트 캐슬,국뽕이 과하지만 재미는 있음,3.0,22
긴급 명령,"전 춤을 못 춥니다
칼춤만 춥니다",3.0,23
플라이트 93,9  11에 희생된 모든 이에게 명복을 빕니다,3.5,22
푸른 호수,"경계선에 선 사람들
안타깝다",4.5,25
센과 치히로의 행방불명,"네가 나의 이름을 부르기전 난 한마리 용에
불과 했다",3.5,33
"아호, 나의 아들",바닥 찍었으니 올라갈 일만 있을 것이다,3.5,27
어느 가족,"주웠어요
누군가 버린걸 주웠을 뿐이에요
버린 사람은 따로 있지 않나요?",4.0,31
이터널 선샤인,최선을 다해 날 기억해요,3.0,28
옥토버 스카이,아주 작고 소중한 한 걸음,3.5,23
스피드 큐브의 천재들,"서로에게 긍정적인 라이벌
펠릭스 겁나 착해",3.5,33
오펀: 천사의 비밀,"반전도 괜찮고
아빠는 답답이네",3.5,23
칼리토,"숀팬의 젊은 시절 😨무섭
칼리토 업보라 생각해야지",4.0,24
코다,멋진 가족안에서 태어난 축복,3.5,24
스카페이스,왜 알파치노인지 너무나도 잘 알겠다,4.5,21
모노노케 히메,"자연을 망치는 닝겐
자연을 살리는것도 닝겐
자연의 정령와 닝겐이 사이 좋게 지냈으면",3.5,24
행복을 찾아서,"산을 옮기지마시고
산을 올라갈 힘을 주소서",4.0,21
제럴드의 게임,신선한 구성의 트라우마 극복기,3.5,23
연인,난 항상 조금 슬퍼요,3.0,34
천공의 성 라퓨타,"만화일 뿐인데
맘을 울리는 구석이 있다
배경음악 때문인가",3.0,23
로마,"뭔가 심오한거 같은데
잘 모르겠다",3.0,18
더 킹: 헨리 5세,"프랑스 왕자 ㅋㅋ
전쟁 장면이 생각보다 멋지진 않았다",2.5,24
홀로그램 포 더 킹,홀로그램 같이 뭔가 잡히지 않는 영화,2.0,23
옥자,슈퍼 돼지까진 필요없었는데,3.0,24
스타 이즈 본,레이디가가에 대해 아무것도 몰랐구나,3.5,28
리포 맨,앗 ㅅㅂ 꿈!,3.5,13
녹터널 애니멀스,"인트로가 굉장히 충격적이였다
질렌할과 새넌의 연기도 마찬가지",4.0,32
야망의 함정,세상에 공짜는 없지요,3.5,23
트레이닝 데이,죽을려면 혼자 죽길,3.5,18
머큐리,번역이 참 맘에 안드네,3.0,23
칠드런 오브 맨,"마지막 아이들이 놀면서 내는 어떤 소리들이
새로이 느꺼진다",4.0,25
일본 침몰,실제사항이면 어떨지 너무 궁굼하긴하다,1.5,24
비버리 힐스 캅 2,"전편 보다 돈을 좀 더 쓴거 같아 보인다
하이톤의 말빨에 정신이 없다",3.0,20
비버리 힐스 캅,챔피언 멜로디가 아직도 귀에 맴돈다,3.5,20
배드 가이즈,"그림체는 좀 아쉽지만
샤크 귀여어",3.5,20
테이크오버,해킹 그렇게 하는거 아닌데,2.0,20
패닉 룸,강도가 들어오는지도 모르는 집 크기에 감동,3.0,37
"그 남자, 좋은 간호사","아무도 막지 않으니까요
그러기엔 희생자가 너무 많아
미친놈아",3.5,129
모비우스,유치한 설정들 다 끌어모았다,1.5,28
도망자: 카를로스 곤의 이상한 이야기,이상하고 불친절한 다큐,1.0,19
시빌 액션,야구장 티켓 때문이라고????,3.0,23
서부 전선 이상 없다,"아니
아주 이상한 서부전선이다",4.0,59
결백,같이 보는 남편 시무룩할 영화,3.0,25
앰뷸런스,"마이클베이가 나가신다
다 때려부술거임",2.5,27
얼라이드,이루어지면 안됐던 사랑,3.0,26
해리건 씨의 전화기,"죽음 후에도 끊지 못하는 휴대폰의
무서움",2.5,29
20세기 소녀,"저 상황에도 닭똥 같은 눈물을 흘리는
김유정님 때문에 1점",1.0,63
프레스티지,"아브라카다프라
그들에게 마술이란",3.5,28
헌트,이정재 가만히 있지 그랬어,4.0,35
롱기스트 야드,"좀 오글거리네
범죄자 미화도 별로",2.5,22
미드나잇 익스프레스,"연기 살벌한거에 놀라고
실화라는것에 놀라다",4.0,27
멋진 하루,돈 받으러 왔다가 가져간건 멋진 하루,3.0,38
아웃핏,"연극 같은 영화
도그빌이 생각난다",3.5,37
트로이,"파리스 절레절레
빵형은 멋있는거 혼자 다해",3.5,31
한산: 용의 출현,"지금이 진정 의가 필요합니다
장군님",3.5,30
붉은 10월,신념일까 고집일까,3.0,20
스파이더 게임,이런 허술한 게임을 봤나,3.0,26
프라이멀 피어,"재판이란게
귀에 걸면 귀거리 코에 걸면 코거리",4.5,24
아메리칸 언더독,준비된자에게 기회가 온다,3.0,26
레인메이커,이 영화를 보험사들이 싫어라 합니다,4.0,30
애드 아스트라,영화를 보면서 가부좌를 틀고 명상을 할뻔 했다,2.5,25
데이라잇,진짜 리얼하다,3.5,20
프리퀀시,"시그널이랑 엄청 비슷하구나
굿 마이 리틀치프",4.0,30
알카트라즈 탈출,"보면서도 저런게 돼나했는데
실화라니",3.5,22
조커,슬픔을 억지 웃음으로 토하다,4.0,32
셀룰러,전화기를 고치는거 부터 재미가 없어짐,2.5,23
에이 아이,순간을 영원으로 기억하며 잠이 들다,3.5,32
낯설고 먼,아카데미 후보에 오른게 대단하네,3.0,24
니 부모 얼굴이 보고 싶다,"등장인물이 죄다 천박하네
불필요한 반전 때문에 힘빠짐",3.0,26
더 라스트 데이즈,"짬을 먹는데 바나나와 오렌지를 맘껏 먹으라는
말에 이곳이 천국이구나 싶었어요",5.0,22
아메리칸 머더: 이웃집 살인 사건,"사건 해결 후 범인 행동을
다시 보여주는 부분에서 섬뜩함을 느꼈다",4.0,25
마셜,"좀 더 다양한 사건으로 구성했었다면
더 좋았을텐데
아쉽다",3.5,24
노트북,온 마음을 다해 사랑하라,3.5,25
빽 투 더 퓨쳐 2,"2015하고 7년이 더 지난
지금 보니 감회가 새롭다
아직 날아다니는 차는 없어 ㅡㅜ",4.0,29
빽 투 더 퓨쳐,다시 보니 참 잘만든 영화 같아,4.0,33
흐르는 강물처럼,자기만의 박자로 삶을 살아 내길,3.5,30
인크레더블 헐크,"스타크 : 장군님 저랑 일 하나 같이 하시지요
ㄷㄷ",3.0,29
강릉,명분없는 아사리판,2.5,27
아메리칸 셰프,야식 땡기네,3.0,20
아무도 모른다,한숨이 푹푹 나온다,3.5,22
에베레스트,"꿈을 위해 도전 한거지만
남겨진 가족들은  어쩌나",3.0,18
범죄도시2,"진짜로 맞으면 죽을꺼 같다
팔뚝 보소 ㄷㄷ",3.5,35
네트,"이때는 컴퓨터 허락 받고 끄는 시대였지
추억 둗네",3.0,18
탑건: 매버릭,"앞으로도 이렇게 집중해서 볼 영화가
또 있을까 싶다",5.0,36
저니스 엔드,대위가 한번쯤은 파이팅하길 바랐는데,3.0,17
단테스 피크,이런 영화에 꼭 등장하는 말 안듣는 빌런들,3.5,22
2012,주인공들이 생각보다 뻔뻔한 영화이다,3.0,27
데블,"흥미로운 상황 설정이였는데
영화를 대충 마무리를 해버리네",2.0,29
존 말코비치 되기,"여긴  어디?
나는 누구?",3.5,25
서울대작전,어이가 없는 영화네,0.5,42
브로커,"영화가 너무나도 무거워서
지하로 들어갈거 같다",3.0,27
혐오스런 마츠코의 일생,마츠코의 잔혹 동화,5.0,26
백엔의 사랑,주인공을 보고 내가 급 부끄러워 졌다,3.5,29
어나더 라운드,절대로 따라하지 마시오,4.0,35
타운,범죄자와의 쫄깃한 데이트,3.5,20
그레이 맨,아주 평범한 영화일 뿐이야,3.0,22
파이널 디씨전,"우리 스티븐 시걸 형님만 보면
목 꺽는 짤만 생각나 ㅡㅜ
영화는 테러 스토리의 FM인듯",3.0,21
예스맨,"한국말이 나와 놀랬다
무슨 말하는지는 잘 모르겠다",3.5,21
탑건,"맥 라이언도 나왔었구나
탐 형의 땀을 닦아주고 싶다",3.0,24
좋은 친구들,"광수형 이리 연기 잘하는데
여기서도 엄청 맞네",3.5,21
몸 값,14분에 담긴 강렬함,3.5,24
코너 맥그리거: 노토리어스,코너도 애인도 참 멋있다,4.0,17
카터,"이걸 원테이크로 찍었다면
주원은 힘들어 죽었을듯",2.5,25
사진 속의 소녀,"이런거 보면  매번  현실이 영화보다 참혹하다는게
느껴진다",4.0,37
빅 피쉬,이 영화의 여운은 꽤 오래 갈거 같다,5.0,23
넌 실수였어,로렌 랩커스란 배우만 알고 가야겠다,3.0,12
패밀리 맨,인생은 한치 앞도 모르기 때문에 재미난것,3.5,15
파괴지왕,정말 아무 생각 없이 보기 좋은 영화인듯,3.0,20
슬리퍼스,나쁜 놈들 위에 더 나쁜 놈들,3.5,22
프리즈너스,"고구마 백개 먹은 듯한
답답함",3.0,24
미드 90,아주 짧고 굵은 영화,4.0,24
반 헬싱,눈이 즐거운 볼거리 많은 영화,3.0,22
왓치맨,"참 특이한 히어로 집단인듯
빤쭈도 안입고 말이야",3.0,16
히든 페이스,만약 남자가 알고 있었다면?,3.5,22
마담 싸이코,분신술을 쓰는 싸이코,1.5,14
조,"로봇이라......
쉽지 않다",3.0,13
킹메이커,"재미는 있었는데
스토리 진행이 무미건조 하게 느껴진다",3.0,19
화이트 헬멧 : 시리아 민방위대,진짜 현실 어벤저스들,3.5,16
줄무늬 파자마를 입은 소년,충격적인 결말이다,5.0,22
그린 마일,그 누구도 고통 받지 않을 순 없지,3.5,26
퍼펙트 케어,겁나 한대 때리고 싶게 연기 잘하네,3.0,26
베케이션,소소한 재미가 있는 영화다,3.0,19
이보다 더 좋을 순 없다,세상 멋진 츤데레 아재,3.5,21
더 더트,역시 음악 영화는 영화관에서 봐야해 ㅡㅜ,5.0,22
RRR: 라이즈 로어 리볼트,춤출 때 람에게서 계속 최시원이 보이네,3.0,49
아메리칸 메이드,"이게 실화라니
얼마나 바쁘게 산거지",3.0,20
코치 카터,동화책 처럼 끝나지 않았지?,4.0,16
미스틱 리버,"전개가 조금만 더 빨랐어도
누가 제일 소름 돋는 자인지 모르겠다",3.5,19
엑스트레모,"여주도 훈련하고 싸움 잘하던데
같이 싸우지",2.0,17
아이보이,"연관성 하나 없는 초능력
쓰레기 영화",0.5,14
신의 분노,그래서 죽인겨 어쩐겨,1.5,14
불도저에 탄 소녀,"최악의 상황에서의 극한의 발버둥
결말은 맘에 들지 않는다",3.0,27
이상한 나라의 수학자,이상한 영화로군,2.0,26
19곰 테드,인형한테 맞으면 아플까?,3.0,20
특수기동대 2: 파이어파이트,흔하디 흔한 스토리,1.0,11
킬러의 보디가드 2,개그 코드가 나랑 맞지 않다,1.5,17
인터셉터,"한발 정도는 맞게 해주지
영화인데",2.5,26
흑사회,"용두곤만 찾느라 재미는 못 찾음
생각보다 시원한 액션은 없네",2.0,16
어쌔신: 더 비기닝,"남주가 역활에 맞지 않아 보인다
액션도 그닥",1.5,14
캐시트럭: 그 남자의 분노,"이야기 전개는 맘에 들었으나
마무리가 밍밍하네",3.5,23
장르만 로맨스,로맨스도 아닌 코미디도 아닌 걍 노잼,2.0,17
12 몽키즈,"쉽지 않은 영화
카산드라 콤플렉스
왜 진실을 말하는데 믿지 못하니",3.0,23
모범시민,가족에 대한 복수는 이렇게 해야지,3.5,18
레디 플레이어 원,아 이건 영화관에서 봐야 했다,3.0,30
저스티스 리그,플래쉬 뛰는게 왜 저러지?,2.5,20
랜섬,생각보다 허무한 결말이였다,3.0,19
낫아웃,진짜 인생 낫아웃 맞어?,3.5,17
가문의 위기 - 가문의 영광 2,"원희 누나 겁나 이뻤었구나
옛날 영화 대사  완전 빠꾸 없었네",3.0,18
유체이탈자,"액션은 좋았는데
좀 유치하긴하다",3.0,16
자산어보,배운대로 살지 못하믄 생긴대로 살아야지라,4.0,19
언컷 젬스,"전체적으로 정신 없는 영화다
주인공 너무 너무 짠하네",3.0,17
K-19 위도우메이커,함장님 좀 살살 갔으면 괜찮았을 텐데 ㅡㅜ,3.5,13
엣지 오브 투모로우,테란 vs 저그 전쟁 실사판?,3.0,23
사이버 지옥: N번방을 무너뜨려라,아직도 무너지지 않은 여러 형태의 N번방,5.0,30
트라이얼 오브 더 시카고 7,"이게 재판이야?  개판이지
-부러진 화살",5.0,18
워 머신,미국인이 까발린 미군의  속 껍데기,2.5,11
버려진 자들의 땅,너무너무 무겁고 어둡다,2.0,12
시니어 이어,가볍게 보기 딱 좋음,3.0,70
겟어웨이 킹,"참 재미없게 만들었다
긴장감 1도 없네",0.5,13
투캅스 인 파리: 더 테이크다운,프랑스 농담은 나랑 안 맞는걸로,2.0,13
커런트 워,잔잔하게 풀어내는 세기의 발명가 이야기,3.0,16
케이프 피어,"로버트 드니로의  젊을 때의 연기를 보는게
좋았다",3.5,22
인터프리터,"주와니를 보니 생각나는 사람이 있다
그도 머리가 희끗하지",4.0,13
문 섀도우,"끝이 이게 뭐야
초반에는 흥미진진 갈수록 재미없음",2.0,11
요나와 버스터,불면증이 이렇게나 무섭다,2.0,15
베놈 2: 렛 데어 비 카니지,"재미가 없어서
베놈의 시대는 끝난거 같은데",3.0,26
스파이더맨: 노 웨이 홈,스파이더맨 종합선물세트,4.0,30
인사이드 잡,top 10%가 쳐 놓은 거미줄은 어디에나 존재한다,5.0,12
효자동 이발사,야만의 시대,3.5,15
만남의 광장,유쾌하게 풀어낸 남남북녀,3.0,14
분노의 질주: 더 얼티메이트,액션만 볼만했다,3.0,19
북촌방향,아 제가 꼴값을 떨고 있네요,3.0,17
여의도,주식과는 상관없는 이야기,2.5,12
레스틀리스,연기 진짜 못 하네,2.0,11
자도빌 포위작전,"전투씬  정말 리얼하다

전투 경험이 없더군

결혼 10년차요",5.0,13
그렇게 난 갱스터와 사랑에 빠졌다,그래 잘했다,3.0,12
다른나라에서,내겐 너무 어려운 영화,2.0,14
미쓰 홍당무,세상 사랑스러운 찐따들,3.0,18
우아한 세계,딱히 우아하지 못한 기러기 아빠,3.5,20
폭격,마지막 롱테이크씬 가슴이 아프다,4.0,19
야차,액션이고 연출이고 촌스럽다,2.5,18
노바디,레알 힘숨찐,3.5,22
스카우트,어떤 공포 영화보다 무섭다,4.0,19
무간도,서로  다른 지옥에서 걷다,3.0,26
7급 공무원,그 시절 추억의 개그 코드,3.0,13
야수,죽이고 싶은 놈을 총으로 죽이면 재미없지,3.0,12
머니 몬스터,말 한마디로 천냥 빚 갚기,3.0,15
프랙처드,끝까지 궁금하긴 했다,2.5,20
올 더 머니,납치범들이 착해,3.0,12
맨 인 더 다크 2,우어 완전 막장이네 ㄷㄷ,3.0,14
맨 인 더 다크,정당방위에 대한 고찰,3.5,17
용서는 없다,용서는 없고 죽음만 있다,3.5,9
타다: 대한민국 스타트업의 초상,표를 의식한 쌩양아치 집단이 문제,4.0,6
미션 임파서블: 폴아웃,"헬기 장면은 정말 끝네줍니다
톰 형 오래사셔야함",3.5,21
이스케이프 룸 2: 노 웨이 아웃,너무 대충 만든 느낌이다,2.0,10
졸업반,"찌질한 놈들
절래절래",3.0,14
데이트 앱 사기: 당신을 노린다,사이다인지 알았는데 반전이네,5.0,18
인디펜던스 데이: 리써전스,한숨이 나온다,2.0,15
코어,지구 속엔 미네랄이 엄청 많구먼,3.5,16
히트맨: 에이전트 47,그냥저냥 주인공은 총 안맞는 영화,3.0,10
완득이,따뜻한 동화 한편,3.5,16
샌드 캐슬,식수를 공급하기엔 좋지 못한 날이였다,3.0,14
한니발,안소니 홉킨스 연기가 소름이다,3.5,17
이카로스,러시아 스포츠는 사기였다,5.0,14
뮌헨: 전쟁의 문턱에서,보이지 않는 희망은 없는게 나아,4.0,21
모럴센스,"정말 궁금하다
서현이 왜 이걸 찍겠다고 한건지",1.5,16
제로 다크 서티,목표를 이룬 자의 허무함,3.5,20
백악관 최후의 날,완전 서울 사람인데?,2.5,14
13시간,우리는 집에 가잖아,4.0,13
내 아내의 모든 것,익숙함에 소중한걸 잊어 버리지,3.5,14
헌트,코미디인가 스릴러인가,2.5,15
와스프 네트워크,"뭔가 굉장히 복잡한데
두번은 봐야 이해가 될듯",3.0,9
12번째 솔저,우리의 뜻이 헛되지 않게 해주게,5.0,12
부탁 하나만 들어줘,안나 켄드릭 귀요미,3.5,16
브레이즌,스릴러 소설가가 형사가 할일 다 하네,2.5,12
크리미널 스쿼드,총격전은 볼만했다,3.0,8
박하사탕,"박하사탕 하나 먹어봐요
입안이 화해져 좋아요",3.0,10
투건스,"얙션도 중간
스토리도 중간",2.5,14
기묘한 가족,"기묘한 영화다
배우가 참 아까비",2.0,12
그린 존,"순진한척 하지마
전쟁의 명분이 많이 약하다",3.0,12
언브로큰,"어떤 신념이면 저 상황에서도 살아 남았을수 있을까
죽지 않는게 복수다",5.0,16
고스트 버스터즈,"어릴적 오락실에서 게임 겁나 했지
ㅋㅋ",3.5,18
하이웨이맨,"처음 알게된 보니와 클라이드 연쇄살인 소재
노장들의 연기
다 좋은데 좀 지루하다",3.5,16
자헤드: 그들만의 전쟁,"총 한번 쏘지 않고 끝난 전쟁이
어찌보면 다행인데 어찌보면 허무할듯",3.5,16
데스 위시,브루스월리스와 배역간에 느껴지는 이질감,2.5,9
몰리스 게임,"몰리스 브롬
제 이름을 지키고 싶어요",3.5,12
덩케르크,기대가 너무 컸나? 생각보단  재미가 덜 했다,3.0,22
언포기버블,"인생 참 안타깝다
마지막 장면 뭉클",3.5,14
미스터 & 미세스 스미스,"너무 늦게 봤나
개그코드가 좀  옛스럽네",2.0,16
파워 오브 도그,개의 세력에게서 엄마를 지켜내다,3.5,20
돈 룩 업,"종말이 다가오면 나는 뭐하고 있을까?
중간에 노래 뜬금없이 겁나 좋다",3.0,31
더 플랫폼,"무슨 얘기를 하려는건지는 잘알겠는데
뒤로 갈수록 재미가 없다",2.5,16
스파이,톰크루즈 인줄 ㅋ,2.5,11
모가디슈,긴박한 상황에 비해 쪼이는 맛이 덜하다,2.0,16
극락도 살인사건,"상당히 고어한 영화
재미는 없었다
소리 지르는거 밖에 기억이 안나네",2.0,12
애비규환,참 귀여운 영회네,3.0,9
잭 리처: 네버 고 백,톰 형이 조금 힘이  빠져보인다,3.0,12
지.아이.조 2,"대사가 오글 거리긴 했는데
액션은 볼만함",3.5,12
아메리칸 스나이퍼,마지막 소름,5.0,17
쇼생크 탈출,나는 희망한다,5.0,20
인질,영화인들 끼리 재미로 만든거 같다,2.0,17
지.아이.조 - 전쟁의 서막,예전 영화인데 액션이 촌스럽지가 않다,3.5,17
인사이드 맨,"센 한방이 없네
종이의 집이랑 비슷",3.0,13
비스티 보이즈,하정우 찌질함 끝판왕,3.5,13
나는 악마를 사랑했다,일어난 사건에 비해 영화는 아주 단백하다,4.0,10
무수단,헛웃음이 나올 정도로 재미가 없다,1.0,14
싱크홀,"재난 웃음 신파
단 하나도 못 잡음",2.0,18
트랜스포머: 최후의 기사,"멍미?
프라임이  또 구하러오네
좀 냅둬라
이번에도 프라임만 개고생",3.0,15
트랜스포머: 사라진 시대,"눈 요기에는 좋다
항상 프라임이 맞을 땐 아무도 안 도와줌",3.5,14
파이트 클럽,죽다 살아난 다음  먹는 밥은 어떤 맛일까?,4.0,24
다키스트 아워,마음을 바꾸지 않으면 아무것도 바꿀 수 없소,3.5,21
아버지의 깃발,대부분의 부모는 그 시대 영웅들이였을 것이다,3.0,12
다음 침공은 어디?,"우리나라에 오면 가져갈게 어떤게 있을까?
오징어 게임 달고나 키트 정도?",4.0,11
에이리언: 커버넌트,"생각보다 엄청 고어하고
재미는 없네",2.0,17
남산의 부장들,정치를 대국적으로 하라고 쫌!!!,4.0,17
극장판 귀멸의 칼날: 무한열차편,"렌코쿠 멋있는 놈이네
어딜보고 얘기하는건지 모르겠지만",3.0,16
밤쉘: 세상을 바꾼 폭탄선언,내가 바로 당신의 지인 일 수도 있어요,3.5,14
인생,"영화 제목 처럼 인생의 희노애락이 모두 담긴
한편",4.0,11
소년시절의 너,우리나라에서 일어난 사건이 오버랩된다,3.5,13
극비수사,"실화 기반 사건이라 마지막까지
어찌될지 걱정하며 봤다",4.0,13
아미 오브 더 데드: 도둑들,"좀비는 왜?  상관없어 보이는데
그래봤자  범죄자",2.5,11
더 포가튼 배틀,전쟁에서 정보력이 이렇게나 중요합니다,3.0,17
다운사이징,"종말은 다가오고 내 앞에 방주가 있다면
난 어떤 선택을 할까",3.0,17
플라이트,"와 덴젤이 다한듯
내가 한번도 못 본 사람 중 제일 흥미로운 사람은 누구니",4.0,14
점퍼,아주 가볍게 볼 만한 영화,3.0,14
어벤져스: 엔드게임,"말이 필요 없죠
마지막 전쟁신은 가슴이 뭉클해진다",5.0,19
킬 빌,"굉장히 뭔가 이질적이면서도
멋있는 이소룡 누나 !",4.0,19
21,천재지만 돈 숨기는건 멍청한듯,3.0,17
저스티스,"세상에 공짜는 없는거지
헝그리 래빗 점프",3.0,13
갱스 오브 뉴욕,칼에 피가 마르지 않도록 하라,4.0,12
GP506,"바이러스가 좀비야 광견병이야?
수포 분장하나는 잘한듯
조진웅 ㄷㄷ",2.0,10
SAS 특수부대: 라이즈 오브 블랙 스완,이 영화를 끝내버려,2.0,12
더 스웜,넷플  돈지랄 장난아니네,1.0,9
소리도 없이,"결말이 어찌 날지 궁금했는데
신선하다
근데 재미는 없다",2.0,13
강철비2: 정상회담,이런 흥미로운 소재로 이렇게 유치하게  만들다니,2.0,17
베놈,이놈! 사람 머리는 먹지마,3.0,19
화차,여자든 남자든 상대를 잘 만나는게 참 힘든일이야,3.0,21
혼자 사는 사람들,"뭔가 심오한 영화다
사회생활 잘하자인가?",2.0,15
키싱 부스,"바람둥이 특
너를 향한 내 마음은 진심이야
ㅋㅋ  지겹다",3.0,12
클로버필드 10번지,"에이 설마
어?  진짜네?",4.0,17
스파이더맨: 홈커밍,"언제나 다정한 이웃
스파이더맨",3.5,18
